e,edot
0,0
0.025,-0.36364
0.05,-0.55132
0.075,-0.60997
0.1,2.32258
0.125,2.92082
0.15,5.10264
0.175,4.87977
0.2,4.36364
0.225,4.42229
0.25,6.54545
0.275,6.47507
0.3,6.85044
0.325,5.85337
0.35,5.7478
0.375,4.02346
0.4,2.65103
0.425,1.30205
0.45,-0.55132
0.475,-2.68622
0.5,-2.80352
0.525,-2.95601
0.55,-3.08504
0.575,-3.1437
0.6,-3.15543
0.625,-3.16716
0.65,-3.13196
0.675,-3.04985
0.7,-3.01466
0.725,-2.85044
0.75,-2.65103
0.775,-2.51026
0.8,-2.34604
