e,adota
0,2.2266
0.025,2.2266
0.05,2.08867
0.075,1.50739
0.1,0.89655
0.125,0.03941
0.15,-0.51232
0.175,-0.94581
0.2,-1.0936
0.225,-1.80296
0.25,-2.57143
0.275,-3.88177
0.3,-4.38424
0.325,-5.19212
0.35,-4.92611
0.375,-4.66995
0.4,-4.05911
0.425,-3.25123
0.45,-1.85222
0.475,-0.40394
0.5,0.16749
0.525,0.06897
0.55,-0.14778
0.575,-0.23645
0.6,-0.41379
0.625,-0.71921
0.65,-0.99507
0.675,-1.34975
0.7,-1.51724
0.725,-1.66502
0.75,-1.87192
0.775,-2.21675
0.8,-2.72906
